	url	title
408	/wiki/Battle_of_Caer_Caradock	Battle of Caer Caradock
409	/wiki/Battle_of_Camulodunum	Battle of Camulodunum
410	/wiki/Battle_of_Watling_Street	Battle of Watling Street
411	/wiki/Battle_of_Rhandeia	Battle of Rhandeia
412	/wiki/Battle_of_Beth_Horon_(66)	Battle of Beth Horon (66)
413	/wiki/Siege_of_Yodfat	Siege of Yodfat
414	/wiki/Siege_of_Gamla	Siege of Gamla
415	/wiki/Battle_of_Bedriacum	Battle of Bedriacum
416	/wiki/Second_Battle_of_Bedriacum	Second Battle of Bedriacum
417	/wiki/Battle_of_Locus_Castorum	Battle of Locus Castorum
418	/wiki/Siege_of_Jerusalem_(70)	Siege of Jerusalem (70)
419	/wiki/Battle_of_Stanwick	Battle of Stanwick
420	/wiki/Battle_of_Yiwulu	Battle of Yiwulu
421	/wiki/Battle_of_Mons_Graupius	Battle of Mons Graupius
422	/wiki/First_Battle_of_Tapae	First Battle of Tapae
423	/wiki/Battle_of_Ikh_Bayan	Battle of Ikh Bayan
424	/wiki/Second_Battle_of_Tapae	Second Battle of Tapae
425	/wiki/Battle_of_Adamclisi	Battle of Adamclisi
426	/wiki/Battle_of_Sarmizegetusa	Battle of Sarmizegetusa
427	/wiki/Battle_of_Ctesiphon_(165)	Battle of Ctesiphon (165)
428	/wiki/Battle_of_Xingyang_(190)	Battle of Xingyang (190)
429	/wiki/Battle_of_Jieqiao	Battle of Jieqiao
430	/wiki/Battle_of_Yangcheng	Battle of Yangcheng
431	/wiki/Battle_of_Xiangyang_(191)	Battle of Xiangyang (191)
432	/wiki/Battle_of_Cyzicus_(193)	Battle of Cyzicus (193)
433	/wiki/Battle_of_Nicaea	Battle of Nicaea
434	/wiki/Battle_of_Fengqiu	Battle of Fengqiu
435	/wiki/Battle_of_Issus_(194)	Battle of Issus (194)
